app_id;Qtd_Loads;Qtd_Stores;Qtd_Joins;Qtd_ApplyMaps;Qtd_Residents;Qtd_Ifs;Qtd_Fors;Qtd_Whiles
Extrator_CSI_GERAL_Dia_Anterior;100;23;23;0;7;433;28;1
Extrator_CSI_GERAL_Dia_Atual;31;7;19;0;7;89;21;1
Extrator_CSI_GERAL;567;145;251;0;67;1530;209;13
Extrator_CSI_PBM;4;3;0;0;0;4;10;1
Extrator_CSI_POS;5;2;4;0;3;7;18;1
Extrator_CSI_Preco_Incremental;5;3;8;0;9;14;11;1
Extrator_CSI_Tratamento;102;10;10;0;7;53;11;0
Extrator_CSV;14;28;4;0;0;21;36;0
extrator_cupom_conversao;2152;3;4300;0;2150;2152;12;0
Extrator_custo_GCP;28;28;0;0;0;1;10;1
Extrator_Dados_Compras;80;4;6;0;3;30;172;1
Extrator_Daily;484;10;12;17;20;24;37;0
Extrator_Datahub_x_Transaction;108830;25;300;0;235;133;31;1
Extrator_DATAHUB;2;2;0;0;0;1;10;0
Extrator_Descontos - Copy;23;19;28;0;22;14;67;0
Extrator_Descontos_concedidos;9;0;7;0;4;21;13;0
Extrator_Descontos;8;7;18;0;24;13;56;0
Extrator_DEVOL_LOJA_CD_TRANSITO;3;1;0;0;0;1;10;0
Extrator_Devolucao_Recebimento;4;4;2;0;1;58;110;3
Extrator_Dias_Uteis_Lojas;9;4;0;0;2;6;11;0
Extrator_DIM_ESTOQUE;1689;3;36;0;15;17;11;0
Extrator_Dim_Venda ME - Copy;12;2;20;0;13;106;13;0
Extrator_Dim_Venda ME;129;28;254;0;182;1458;26;0
Extrator_Dim_Venda_Atual;7;3;10;0;10;105;10;0
Extrator_Dim_Venda_Dia_anterior;70;10;38;0;30;335;12;2
Extrator_Dim_Venda_Gustavo;123;12;218;0;156;1322;24;0
Extrator_Dim_Venda_Nova_Margem;283;28;506;0;364;2802;40;0
Extrator_Dim_Venda- GUSTAVO;0;0;0;0;0;1;10;0
Extrator_Dim_Venda;151;29;236;0;171;1487;25;0
Extrator_Ecommerce_Delivery;27;12;102;0;3;5;24;0
Extrator_Entrada_Recebimento_NF;100;2;8;0;8;31;167;1
Extrator_Entradas_Sistema;3;1;0;0;0;4;12;0
Extrator_Entradas;3;1;0;0;0;4;12;0
Extrator_Estatistica_Separacao;5;3;2;0;2;67;12;0
Extrator_Estorno_MCD;61;60;0;0;0;1;11;0
Extrator_Estorno_PDV;51;50;0;0;0;1;11;0
Extrator_Estrategia_de_Ocupacao;0;2;10;0;0;1;10;0
Extrator_Excesso;0;0;0;0;0;1;10;0
Extrator_Falta_CD;9;8;0;0;0;1;10;0
Extrator_Falta_Fornecedor;7;6;8;0;4;9;45;0
Extrator_FALTAS;3;1;0;0;0;1;10;0
Extrator_Falteiro_Drogão;63;35;56;0;0;29;108;1
Extrator_Falteiro;26;2;30;0;8;9;29;0
Extrator_Faturamento_DT_CONFIRMACAO_ATUAL;7;4;8;0;3;4;11;1
Extrator_Faturamento_DT_CONFIRMACAO;103;86;32;0;13;16;26;7
Extrator_Faturamento_DT_CRIACAO;2;1;0;0;0;1;10;0
Extrator_Flash_Vendas Hora_24;6;2;8;2;4;16;11;0
Extrator_Flash_Vendas_DIA;3;0;8;2;3;9;11;0
Extrator_Flash_Vendas_Minuto;1;0;6;0;2;2;11;0
Extrator_Fornecedor;11;7;8;0;0;1;90;0
Extrator_Geracao_Nao_Vendaveis;156;8;56;5;21;35;23;0
Extrator_ID_TROCAS;5882;51;0;0;0;1;1727;0
Extrator_Iminencia_CD;0;2;0;38;1;4;12;0
Extrator_IN_DEMAND_ROMANEIO;0;0;0;0;0;1;10;0
Extrator_IN_DEMAND;6;5;0;0;4;2;14;0
Extrator_Indicador_Desempenho;2;1;0;0;0;3;14;0
Extrator_Integracao_IQVIA_Reproc_Compras;147;175;70;0;77;92;80;1
Extrator_Integracao_IQVIA;58;56;40;0;38;37;54;0
Extrator_Integracao_Nestle;3;2;18;0;39;77;87;5
Extrator_Integracao_PG;2;2;10;0;2;2;12;1
Extrator_Inventario_Ciclico_V2;6;4;15;0;8;40;11;0
Extrator_Inventario_Ciclico;23;7;2;0;6;54;12;1
Extrator_Inventario_Venda_Novo - Ajuste_Chamados;6;4;6;0;3;13;17;0
